location,best_mae,best_mae_se,trees,min_n,learn_rate,mtry,tree_depth,loss_reduction,runtime_seconds,n_observations
asheville,0.11565579829211575,0.0015005236202993025,600,12,0.01,13,13,3.727593720314938e-4,68.86500000000001,1519
chicago,0.10577601335294033,6.233583057925981e-4,714,40,0.09916839541254738,7,8,2.9126326549087384e-8,139.56,4663
kauai,0.09334240569773515,0.0010530199015742806,714,40,0.09916839541254738,7,8,2.9126326549087384e-8,101.44399999999999,3228
